type,mass_drivers_online,area_m2,system
launch,,146411888.68126974,mercury_mass_driver
launch,,146427086.74112588,mercury_mass_driver
launch,,146442279.21027127,mercury_mass_driver
launch,,146457466.09339693,mercury_mass_driver
infrastructure,6958.0,,
launch,,146472647.39518774,mercury_mass_driver
launch,,146487823.12032238,mercury_mass_driver
launch,,146502993.2734735,mercury_mass_driver
launch,,146518157.85930762,mercury_mass_driver
launch,,146533316.88248506,mercury_mass_driver
launch,,146548470.3476602,mercury_mass_driver
launch,,146563618.2594813,mercury_mass_driver
infrastructure,7131.0,,
launch,,146578760.62259045,mercury_mass_driver
launch,,146593897.44162375,mercury_mass_driver
launch,,146609028.72121128,mercury_mass_driver
launch,,146624154.4659771,mercury_mass_driver
launch,,146639274.68053913,mercury_mass_driver
launch,,146654389.3695094,mercury_mass_driver
launch,,146669498.53749388,mercury_mass_driver
infrastructure,7303.0,,
launch,,146684602.18909252,mercury_mass_driver
launch,,146699700.32889935,mercury_mass_driver
launch,,146714792.9615024,mercury_mass_driver
launch,,146729880.09148374,mercury_mass_driver
launch,,146744961.72341943,mercury_mass_driver
launch,,146760037.86187968,mercury_mass_driver
launch,,146775108.51142877,mercury_mass_driver
infrastructure,7475.0,,
launch,,146790173.67662495,mercury_mass_driver
launch,,146805233.36202067,mercury_mass_driver
launch,,146820287.57216245,mercury_mass_driver
launch,,146835336.3115909,mercury_mass_driver
launch,,146850379.58484077,mercury_mass_driver
launch,,146865417.39644095,mercury_mass_driver
launch,,146880449.75091445,mercury_mass_driver
infrastructure,7647.0,,
launch,,146895476.65277848,mercury_mass_driver
launch,,146910498.1065443,mercury_mass_driver
launch,,146925514.11671746,mercury_mass_driver
launch,,146940524.68779767,mercury_mass_driver
launch,,146955529.82427883,mercury_mass_driver
launch,,146970529.53064898,mercury_mass_driver
launch,,146985523.81139046,mercury_mass_driver
infrastructure,7819.0,,
launch,,147000512.67097977,mercury_mass_driver
launch,,147015496.11388773,mercury_mass_driver
launch,,147030474.1445793,mercury_mass_driver
launch,,235272714.82802203,mercury_mass_driver
launch,,235296662.3794314,mercury_mass_driver
launch,,235320601.29267153,mercury_mass_driver
launch,,235344531.57484975,mercury_mass_driver
infrastructure,8065.0,,
launch,,235368453.23306426,mercury_mass_driver
launch,,235392366.2744041,mercury_mass_driver
launch,,235416270.7059494,mercury_mass_driver
launch,,235440166.53477097,mercury_mass_driver
