day,phase,pv_m2,structure_kg,launched_m2,cum_area_m2,optical_depth,power_GW_1AU_equiv,mass_drivers_online,energy_kWh,resource_remaining_kg,used_mass_kg_day,transport_MW_used,transport_MWh,band_0_area_m2,band_1_area_m2,band_2_area_m2,band_0_od,band_1_od,band_2_od
34,0,20113.275256566638,60339.82576969991,0.0,0.0,0.0,0.0,0,352269.2834649143,1.5425034164174615e+18,63356.81705818491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,20238.316225425395,60714.94867627619,0.0,0.0,0.0,0.0,0,354459.28444395686,1.5425034164173978e+18,63750.69611008999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,20360.676638266974,61082.02991480092,0.0,0.0,0.0,0.0,0,356602.3374478231,1.5425034164173338e+18,64136.13141054097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,20480.484132923313,61441.45239876994,0.0,0.0,0.0,0.0,0,358700.67795964686,1.5425034164172692e+18,64513.52501870844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,20597.857101868758,61793.571305606274,0.0,0.0,0.0,0.0,0,360756.3795368955,1.5425034164172042e+18,64883.24987088659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,20712.9055797287,62138.7167391861,0.0,0.0,0.0,0.0,0,362771.3693554343,1.542503416417139e+18,65245.6525761454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,20825.7320257148,62477.19607714439,0.0,0.0,0.0,0.0,0,364747.4419133057,1.5425034164170734e+18,65601.05588100161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,20936.432015666214,62809.29604699864,0.0,0.0,0.0,0.0,0,366686.2711513249,1.5425034164170076e+18,65949.76084934857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,21045.09485602753,63135.284568082585,0.0,0.0,0.0,0.0,0,368589.4212064531,1.5425034164169413e+18,66292.04879648672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,21151.80413016621,63455.412390498626,0.0,0.0,0.0,0.0,0,370458.355980148,1.5425034164168745e+18,66628.18301002355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,21256.638185843014,63769.91455752904,0.0,0.0,0.0,0.0,0,372294.4476760507,1.5425034164168077e+18,66958.4102854055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,21359.670571331608,64079.01171399482,0.0,0.0,0.0,0.0,0,374098.98443830176,1.5425034164167404e+18,67282.96229969455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,21460.970426587744,64382.911279763226,0.0,0.0,0.0,0.0,0,375873.17720258207,1.5425034164166728e+18,67602.05684375139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,21560.602834952137,64681.80850485641,0.0,0.0,0.0,0.0,0,377618.16585593176,1.542503416416605e+18,67915.89893009923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,21658.629140102774,64975.88742030832,0.0,0.0,0.0,0.0,0,379335.02478793764,1.5425034164165366e+18,68224.68179132373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,21755.107232324473,65265.32169697343,0.0,0.0,0.0,0.0,0,381024.76790453447,1.542503416416468e+18,68528.5877818221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,21850.091807616398,65550.2754228492,0.0,0.0,0.0,0.0,0,382688.3531660835,1.5425034164163994e+18,68827.78919399166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,21943.634602693128,65830.90380807938,0.0,0.0,0.0,0.0,0,384326.68670324463,1.5425034164163302e+18,69122.44899848335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,22035.784608539827,66107.35382561947,0.0,0.0,0.0,0.0,0,385940.6265572376,1.5425034164162606e+18,69412.72151690045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,22126.588264843605,66379.76479453083,0.0,0.0,0.0,0.0,0,387530.98608516605,1.542503416416191e+18,69698.75303425737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,22216.089637334062,66648.26891200218,0.0,0.0,0.0,0.0,0,389098.5370660061,1.542503416416121e+18,69980.68235760229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,22304.330579816677,66912.99173945002,0.0,0.0,0.0,0.0,0,390644.0125385039,1.5425034164160507e+18,70258.64132642253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,22391.35088246856,67174.05264740568,0.0,0.0,0.0,0.0,0,392168.10939846555,1.5425034164159803e+18,70532.75527977597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0,22477.188407780373,67431.56522334111,0.0,0.0,0.0,0.0,0,393671.4907796815,1.5425034164159094e+18,70803.14348450817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0,22561.87921536756,67685.63764610268,0.0,0.0,0.0,0.0,0,395154.7882399031,1.5425034164158385e+18,71069.91952840782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,22645.457676734437,67936.37303020331,0.0,0.0,0.0,0.0,0,396618.6037708519,1.542503416415767e+18,71333.19168171348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0,22727.95658095293,68183.86974285879,0.0,0.0,0.0,0.0,0,398063.51164910523,1.5425034164156954e+18,71593.06323000173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0,22809.407232111495,68428.22169633448,0.0,0.0,0.0,0.0,0,399490.06014284247,1.5425034164156237e+18,71849.6327811512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0,22889.839539296885,68669.51861789066,0.0,0.0,0.0,0.0,0,400898.7730878104,1.5425034164155515e+18,72102.9945487852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0,22969.28209978966,68907.84629936898,0.0,0.0,0.0,0.0,0,402290.1513444307,1.542503416415479e+18,72353.23861433743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,23047.762276082743,69143.28682824824,0.0,0.0,0.0,0.0,0,403664.67414672463,1.5425034164154066e+18,72600.45116966065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,23125.306267269218,69375.91880180765,0.0,0.0,0.0,0.0,0,405022.8003526169,1.5425034164153336e+18,72844.71474189803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0,23201.939175289437,69605.8175258683,0.0,0.0,0.0,0.0,0,406364.96960420616,1.5425034164152607e+18,73086.10840216171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,23277.685066478713,69833.05519943613,0.0,0.0,0.0,0.0,0,407691.60340572725,1.5425034164151872e+18,73324.70795940794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0,23352.567028812555,70057.70108643766,0.0,0.0,0.0,0.0,0,409003.1061261594,1.5425034164151137e+18,73560.58614075955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0,23426.60722520811,70279.82167562433,0.0,0.0,0.0,0.0,0,410299.8659327627,1.54250341641504e+18,73793.81275940555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,23499.826943205517,70499.48082961656,0.0,0.0,0.0,0.0,0,411582.25566120975,1.542503416414966e+18,74024.45487109739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0,23572.24664132246,70716.73992396738,0.0,0.0,0.0,0.0,0,412850.6336274524,1.5425034164148915e+18,74252.57692016575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0,23643.885992347477,70931.65797704244,0.0,0.0,0.0,0.0,0,414105.34438597166,1.5425034164148173e+18,74478.24087589457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0,23714.763923813192,71144.29177143957,0.0,0.0,0.0,0.0,0,415346.7194386375,1.5425034164147425e+18,74701.50636001155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0,23784.898655868637,71354.69596760592,0.0,0.0,0.0,0.0,0,416575.0778980142,1.5425034164146675e+18,74922.43076598621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0,23854.307736750077,71562.92321025023,0.0,0.0,0.0,0.0,0,417790.727108606,1.5425034164145925e+18,75141.06937076274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0,23923.008076032023,71769.02422809607,0.0,0.0,0.0,0.0,0,418993.9632292248,1.542503416414517e+18,75357.47543950086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0,23991.01597582435,71973.04792747305,0.0,0.0,0.0,0.0,0,420185.0717793838,1.5425034164144415e+18,75571.7003238467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0,24058.34716006686,72175.04148020058,0.0,0.0,0.0,0.0,0,421364.32815237105,1.5425034164143657e+18,75783.79355421061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0,24125.016802059898,72375.05040617968,0.0,0.0,0.0,0.0,0,422531.9980974279,1.5425034164142897e+18,75993.80292648867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,24191.039550357847,72573.11865107354,0.0,0.0,0.0,0.0,0,423688.33817325474,1.5425034164142134e+18,76201.77458362722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0,24256.429553141774,72769.28865942532,0.0,0.0,0.0,0.0,0,424833.5961748794,1.542503416414137e+18,76407.75309239658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0,24321.20048117788,72963.60144353364,0.0,0.0,0.0,0.0,0,425968.0115357584,1.5425034164140605e+18,76611.78151571032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0,24385.36554945991,73156.09664837972,0.0,0.0,0.0,0.0,0,427091.8157068274,1.5425034164139837e+18,76813.90148079871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0,24448.937537625538,73346.81261287662,0.0,0.0,0.0,0.0,0,428205.2325140793,1.5425034164139067e+18,77014.15324352044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0,24511.928809229794,73535.78642768938,0.0,0.0,0.0,0.0,0,429308.4784961244,1.5425034164138294e+18,77212.57574907385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0,24574.35132995201,73723.05398985602,0.0,0.0,0.0,0.0,0,430401.7632230716,1.542503416413752e+18,77409.20668934882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0,24636.216684806786,73908.65005442036,0.0,0.0,0.0,0.0,0,431485.2895979657,1.5425034164136745e+18,77604.08255714137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0,24697.536094424187,74092.60828327257,0.0,0.0,0.0,0.0,0,432559.2541419233,1.5425034164135967e+18,77797.23869743619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0,24758.320430459262,74274.96129137778,0.0,0.0,0.0,0.0,0,433623.8472640194,1.5425034164135186e+18,77988.70935594667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0,24818.580230186653,74455.74069055996,0.0,0.0,0.0,0.0,0,434679.25351690094,1.5425034164134405e+18,78178.52772508796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0,24878.325710331796,74634.97713099538,0.0,0.0,0.0,0.0,0,435725.65183903027,1.5425034164133622e+18,78366.72598754514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0,24937.566780186466,74812.7003405594,0.0,0.0,0.0,0.0,0,436763.21578439453,1.5425034164132836e+18,78553.33535758738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0,24996.313054053004,74988.93916215902,0.0,0.0,0.0,0.0,0,437792.11374045676,1.5425034164132047e+18,78738.38612026697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0,25054.573863058307,75163.72158917492,0.0,0.0,0.0,0.0,0,438812.50913506973,1.542503416413126e+18,78921.90766863366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0,25112.35826637576,75337.07479912728,0.0,0.0,0.0,0.0,0,439824.56063301966,1.5425034164130468e+18,79103.92853908364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0,25169.67506189065,75509.02518567196,0.0,0.0,0.0,0.0,0,440828.42232282297,1.5425034164129674e+18,79284.47644495555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0,25226.532796342108,75679.59838902632,0.0,0.0,0.0,0.0,0,441824.243894355,1.542503416412888e+18,79463.57830847763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0,25282.939774972216,75848.81932491665,0.0,0.0,0.0,0.0,0,442812.17080784775,1.5425034164128084e+18,79641.26029116249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
